Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Utah,US,2020-04-15,40.15,-111.8624,2548,20,218.0,2528.0,49.0,88.90805692627958,47614.0,221.0,0.7849293563579278,84000049.0,USA,1661.408250583939,8.673469387755103,,
Rhode Island,US,2020-04-15,41.6809,-71.5118,3251,80,168.0,3171.0,44.0,306.8831116116225,25897.0,331.0,2.460781298062135,84000044.0,USA,2444.586878316268,10.181482620732082,,
South Carolina,US,2020-04-15,33.8569,-80.945,3656,106,,3550.0,45.0,72.54004236132123,34733.0,675.0,2.899343544857768,84000045.0,USA,689.1502438008125,18.462800875273523,,
South Dakota,US,2020-04-15,44.2998,-99.4388,1168,6,329.0,1162.0,46.0,158.7189424535122,9859.0,51.0,0.5136986301369864,84000046.0,USA,1339.7346349736106,4.366438356164384,,
Tennessee,US,2020-04-15,35.7478,-86.6923,5827,124,2196.0,5703.0,47.0,88.75952809238302,80896.0,663.0,2.128024712545049,84000047.0,USA,1232.2448574843688,11.378067616269092,,
Texas,US,2020-04-15,31.0545,-97.5635,15941,378,3150.0,15532.0,48.0,69.20732573487047,151810.0,1538.0,2.3574526937826112,84000048.0,USA,660.4868372295648,9.668699314767084,,
Vermont,US,2020-04-15,44.0459,-72.7107,759,29,15.0,730.0,50.0,124.30579553252504,11081.0,63.0,3.820816864295125,84000050.0,USA,1814.7991044741896,8.300395256916996,,
Virgin Islands,US,2020-04-15,18.3358,-64.8963,51,1,44.0,50.0,78.0,47.5444680613044,382.0,,1.96078431372549,850.0,VIR,356.1173882238878,,,
Virginia,US,2020-04-15,37.7693,-78.17,6500,195,752.0,6305.0,51.0,82.20324943121675,44169.0,1298.0,3.0,84000051.0,USA,558.5900498657559,19.96923076923077,,
Washington,US,2020-04-15,47.4009,-121.4905,10942,552,,10390.0,53.0,144.9386130267519,122854.0,645.0,5.044781575580332,84000053.0,USA,1627.333975944853,5.894717601900933,,
West Virginia,US,2020-04-15,38.4912,-80.9545,702,10,211.0,692.0,54.0,53.06130470340847,17656.0,164.0,1.4245014245014245,84000054.0,USA,1334.5447234236185,23.361823361823358,,
Wisconsin,US,2020-04-15,44.2685,-89.6165,3721,183,,3538.0,55.0,71.90934282281566,43047.0,1091.0,4.918032786885246,84000055.0,USA,831.8950498505094,29.32007524858909,,
Wyoming,US,2020-04-15,42.756,-107.3025,287,1,129.0,286.0,56.0,57.718606709033864,6329.0,43.0,0.3484320557491289,84000056.0,USA,1272.8259995173355,14.982578397212546,,
Puerto Rico,US,2020-04-15,18.2208,-66.5901,974,51,,923.0,72.0,33.20370026944769,7799.0,,5.236139630390143,630.0,PRI,265.8682324449923,,,
Montana,US,2020-04-15,46.9219,-110.4544,404,7,209.0,397.0,30.0,46.651970526116436,9583.0,51.0,1.7326732673267329,84000030.0,USA,1106.5985979004304,12.623762376237625,,
Alabama,US,2020-04-15,32.3182,-86.9023,4307,118,,3957.0,1.0,86.90743260088672,34077.0,525.0,2.8957055214723932,84000001.0,USA,726.7594063166669,12.883435582822086,,
Mississippi,US,2020-04-15,32.7416,-89.6787,3360,122,,3238.0,28.0,116.0539180977105,38151.0,645.0,3.6309523809523814,84000028.0,USA,1317.7300682576645,19.196428571428573,,
Alaska,US,2020-04-15,61.3707,-152.4044,293,9,106.0,284.0,2.0,49.01722963986556,8664.0,34.0,3.0716723549488054,84000002.0,USA,1449.4378075078337,11.604095563139932,,
American Samoa,US,2020-04-15,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16.0,ASM,5.3917075537822825,,,
Arizona,US,2020-04-15,33.7298,-111.4312,3964,142,385.0,3822.0,4.0,54.46014730343274,45310.0,590.0,3.5822401614530777,84000004.0,USA,622.4998169320227,14.883955600403633,,
Arkansas,US,2020-04-15,34.9697,-92.3731,1569,33,489.0,1536.0,5.0,60.601917245358976,21834.0,130.0,2.103250478011472,84000005.0,USA,843.3284009784372,8.2855321861058,,
California,US,2020-04-15,36.1162,-119.6816,26686,860,,25826.0,6.0,68.06156401321954,216486.0,5163.0,3.2264108521322044,84000006.0,USA,552.13878988855,19.347223263134232,,
Colorado,US,2020-04-15,39.0598,-105.3111,7956,328,,7628.0,8.0,140.39637447009457,39580.0,1556.0,4.122674710910005,84000008.0,USA,698.4525517252819,19.55756661639015,,
Connecticut,US,2020-04-15,41.5978,-72.7554,14755,868,,13887.0,9.0,413.85167589593766,50143.0,1908.0,5.882751609623856,84000009.0,USA,1406.4225404574722,12.931209759403592,,
Missouri,US,2020-04-15,38.4561,-92.2884,4791,153,,4638.0,29.0,81.76526967691198,49012.0,1024.0,3.1934877896055105,84000029.0,USA,836.4599034449616,21.3734084742225,,
Diamond Princess,US,2020-04-15,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888.0,USA,,,,
District of Columbia,US,2020-04-15,38.8974,-77.0268,2197,72,530.0,2125.0,11.0,311.3004765150216,11525.0,313.0,3.2771961766044617,84000011.0,USA,1633.0168374308716,14.246700045516613,,
Florida,US,2020-04-15,27.7663,-81.6868,22511,596,,21915.0,12.0,106.020900119373,213509.0,3344.0,2.647594509350984,84000012.0,USA,1005.5713368391993,14.854959797432365,,
Georgia,US,2020-04-15,33.0406,-83.6431,14987,552,,14435.0,13.0,147.8096371252204,64090.0,2922.0,3.683192099819844,84000013.0,USA,632.0891201278025,19.496897311002872,,
Grand Princess,US,2020-04-15,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999.0,USA,,,,
Delaware,US,2020-04-15,39.3185,-75.5071,2014,46,354.0,1968.0,10.0,206.82629466688027,13102.0,208.0,2.284011916583913,84000010.0,USA,1345.5005524952658,10.327706057596822,,
Hawaii,US,2020-04-15,21.0943,-157.4983,524,9,333.0,515.0,15.0,37.011243224611626,19803.0,45.0,1.717557251908397,84000015.0,USA,1398.7283388873745,8.587786259541986,,
Guam,US,2020-04-15,13.4443,144.7937,135,5,73.0,130.0,66.0,82.20229070383428,978.0,9.0,3.703703703703704,316.0,GUM,595.5099282099994,6.666666666666668,,
Michigan,US,2020-04-15,43.3266,-84.5361,28059,1921,452.0,26138.0,26.0,352.17883590830917,89697.0,3918.0,6.846288178481058,84000026.0,USA,1125.8200593202755,13.963434192237784,,
Massachusetts,US,2020-04-15,42.2302,-71.5301,29918,1108,,28810.0,25.0,435.88277699200967,132023.0,3454.0,3.7034561133765616,84000025.0,USA,1923.475896343876,11.54488936426232,,
Maryland,US,2020-04-15,39.0639,-76.8021,10032,311,607.0,9721.0,24.0,168.79411979974208,55763.0,2231.0,3.100079744816587,84000024.0,USA,938.244268579846,22.238835725677827,,
Maine,US,2020-04-15,44.6939,-69.3819,770,24,305.0,746.0,23.0,65.58739904225362,14846.0,126.0,3.116883116883117,84000023.0,USA,1264.5591249107754,16.363636363636363,,
Louisiana,US,2020-04-15,31.1695,-91.8678,21951,1103,,20848.0,22.0,477.4794410416974,121928.0,1943.0,5.024828026058039,84000022.0,USA,2652.1850160508443,8.851532959774044,,
Minnesota,US,2020-04-15,45.6945,-93.9002,1809,87,940.0,1722.0,27.0,36.571712296060646,40242.0,445.0,4.8092868988391375,84000027.0,USA,813.5538121714055,24.59922609176341,,
Kansas,US,2020-04-15,38.5266,-96.7265,1504,73,,1433.0,20.0,61.67756412990345,14668.0,342.0,4.720744680851063,84000020.0,USA,601.5202863413722,22.739361702127663,,
Iowa,US,2020-04-15,42.0115,-93.2105,1995,53,908.0,1942.0,19.0,76.12432189255367,19869.0,171.0,2.656641604010025,84000019.0,USA,758.1524569840344,8.571428571428571,,
Indiana,US,2020-04-15,39.8494,-86.2583,8960,436,,8524.0,18.0,136.9194409408077,48396.0,,4.866071428571429,84000018.0,USA,739.5483553316217,,,
Illinois,US,2020-04-15,40.3495,-88.9861,24593,949,,23644.0,17.0,209.5580024392337,116929.0,4283.0,3.858821615906965,84000017.0,USA,996.3569986263228,17.415524742812995,,
Idaho,US,2020-04-15,44.2405,-114.4788,1473,39,,1434.0,16.0,91.46244916941791,15398.0,141.0,2.6476578411405294,84000016.0,USA,956.1023708830256,9.572301425661914,,
Kentucky,US,2020-04-15,37.6681,-84.6701,2210,115,653.0,2095.0,21.0,64.55753405409921,27697.0,687.0,5.203619909502263,84000021.0,USA,809.0724075549257,31.08597285067873,,
Guam,US,2020-04-16,13.4443,144.7937,135,5,86.0,130.0,66.0,82.20229070383428,1005.0,9.0,3.703703703703704,316.0,GUM,611.9503863507662,6.666666666666668,,
Hawaii,US,2020-04-16,21.0943,-157.4983,530,9,359.0,521.0,15.0,37.435036085962146,20700.0,45.0,1.69811320754717,84000015.0,USA,1462.0853716592762,8.49056603773585,,
Idaho,US,2020-04-16,44.2405,-114.4788,1587,41,,1546.0,16.0,98.54100939026895,15831.0,143.0,2.58349086326402,84000016.0,USA,982.9884811955563,9.010712035286703,,
Illinois,US,2020-04-16,40.3495,-88.9861,25734,1072,,24662.0,17.0,219.28051212829826,122589.0,4423.0,4.165695189243801,84000017.0,USA,1044.5861001513933,17.187378565322142,,
Indiana,US,2020-04-16,39.8494,-86.2583,9542,477,,9065.0,18.0,145.81309212691818,51115.0,,4.9989520016767965,84000018.0,USA,781.097904429619,,,
Kentucky,US,2020-04-16,37.6681,-84.6701,2435,129,862.0,2306.0,21.0,71.13013367499167,28324.0,807.0,5.297741273100616,84000021.0,USA,827.3880518318127,33.14168377823409,,
Kansas,US,2020-04-16,38.5266,-96.7265,1615,80,,1535.0,20.0,66.2295652059801,16122.0,359.0,4.953560371517028,84000020.0,USA,661.147399536106,22.229102167182663,,
Louisiana,US,2020-04-16,31.1695,-91.8678,22532,1156,,21376.0,22.0,490.1173871601078,126586.0,1914.0,5.130481093555832,84000022.0,USA,2753.506105585363,8.494585478430677,,
Maine,US,2020-04-16,44.6939,-69.3819,796,27,333.0,769.0,23.0,67.8020384904336,14872.0,130.0,3.391959798994975,84000023.0,USA,1266.7737643589555,16.331658291457288,,
